Control Voltage,Power,Current,Speed,Airflow1,Airflow2,Air Pressure Pa,Air Pressure H2O,Efficiency
10,1098,1.9,3907,0,0,1820,6.8098,0.00%
10,1098,1.9,3835,453,266.62,1623,6.5191,18.60%
10,1098,1.9,3813,911,536.3,1530,6.1453,35.26%
10,1098,1.9,3558,1396,821.75,1320,5.3035,46.62%
10,1098,1.9,3392,1839,1082.55,1144,4.5949,53.22%
10,1098,1.9,3268,2743,1614.51,667,2.6787,46.28%
10,1098,1.9,3322,2795,1645.4,639,2.5677,45.19%
10,1098,1.9,3407,3211,1890.43,403,1.6196,32.74%
10,1098,1.9,3515,3612,2126.05,200,0.8028,18.27%
10,1098,1.9,3635,3974,2339.24,0,0,0.00%
9,930,1.57,3950,0,0,1697,6.8194,0.00%
9,930,1.57,3665,600,352.95,1467,5.8926,26.27%
9,930,1.57,3500,1012,595.55,1276,5.1279,38.56%
9,930,1.57,3338,1262,743.03,1180,4.741,44.49%
9,930,1.57,3247,1674,985.32,1028,4.1314,51.39%
9,930,1.57,3130,2523,1485.33,609,2.4474,45.90%
9,930,1.57,3113,2550,1501.2,582,2.3393,44.33%
9,930,1.57,3263,3019,1777.23,346,1.3911,31.20%
9,930,1.57,3327,3395,1998.56,145,0.5813,14.70%
9,930,1.57,3415,3708,2182.87,0,0,0.00%
8,675,1.26,3755,0,0,1558,6.2603,0.00%
8,675,1.26,3318,516,303.65,1180,4.7419,25.05%
8,675,1.26,3087,884,520.22,1028,4.1281,37.39%
8,675,1.26,2935,1268,746.63,894,3.5896,46.66%
8,675,1.26,2767,2201,1295.63,509,2.0451,46.10%
8,675,1.26,2820,2224,1309.28,483,1.9394,44.21%
8,675,1.26,2832,2331,1371.91,442,1.7771,42.39%
8,675,1.26,2907,2760,1624.45,253,1.0145,28.73%
8,675,1.26,2938,2955,1739.56,159,0.6398,19.34%
8,675,1.26,3068,3317,1952.54,0,0,0.00%
7,471,0.97,3325,0,0,1214,4.8753,0.00%
7,471,0.97,2960,462,272.22,917,3.6848,25.01%
7,471,0.97,2720,785,461.82,800,3.2129,37.01%
7,471,0.97,2590,1117,657.44,699,2.8098,46.04%
7,471,0.97,2478,1874,1103.28,416,1.6698,45.98%
7,471,0.97,2438,1942,1143.38,390,1.5666,44.68%
7,471,0.97,2478,2046,1204.64,351,1.4119,42.36%
7,471,0.97,2542,2313,1361.75,239,0.9613,32.61%
7,471,0.97,2638,2723,1603.08,75,0.3017,12.05%
7,471,0.97,2675,2903,1709.09,0,0,0.00%
6,312,0.64,2900,0,0,916,3.6815,0.00%
6,312,0.64,2528,412,242.28,689,2.7698,25.25%
6,312,0.64,2422,682,401.51,605,2.431,36.74%
6,312,0.64,2265,965,567.83,530,2.1298,45.52%
6,312,0.64,2122,1604,943.95,329,1.323,46.97%
6,312,0.64,2137,1672,984.36,304,1.2226,45.26%
6,312,0.64,2170,1778,1046.89,267,1.0734,42.28%
6,312,0.64,2247,2085,1227.49,160,0.641,29.70%
6,312,0.64,2292,2286,1345.56,85,0.343,17.30%
6,312,0.64,2342,2514,1480.04,0,0,0.00%
5,204,0.54,2470,0,0,660,2.6522,0.00%
5,204,0.54,2163,340,200.17,499,2.0066,23.11%
5,204,0.54,2033,568,334.12,439,1.7635,33.93%
5,204,0.54,1933,789,464.46,387,1.5564,41.58%
5,204,0.54,1803,1294,761.97,255,1.0263,44.95%
5,204,0.54,1818,1377,810.85,229,0.9197,42.95%
5,204,0.54,1830,1496,880.36,193,0.774,39.30%
5,204,0.54,1912,1849,1088.26,91,0.3638,22.91%
5,204,0.54,1995,2080,1224.32,21,0.0827,5.95%
5,204,0.54,1998,2143,1261.77,0,0,0.00%
4,120,0.36,2033,0,0,450,1.8096,0.00%
4,120,0.36,1795,228,134.47,341,1.3715,18.03%
4,120,0.36,1683,407,239.32,303,1.2157,28.51%
4,120,0.36,1537,995,585.71,191,0.7691,43.99%
4,120,0.36,1505,1059,623.37,164,0.6581,40.20%
4,120,0.36,1527,1198,704.95,131,0.5245,36.31%
4,120,0.36,1555,1372,807.36,90,0.3607,28.57%
4,120,0.36,1615,1585,932.84,33,0.1324,12.11%
4,120,0.36,1653,1694,996.95,0,0,0.00%
4,120,0.36,1485,2114,1244.63,0,0,0.00%
3,75,0.23,1660,0,0,300,1.2056,0.00%
3,75,0.23,1473,233,137.33,230,0.9238,19.87%
3,75,0.23,1400,376,221.33,205,0.8229,28.55%
3,75,0.23,1282,824,484.99,137,0.5516,41.80%
3,75,0.23,1238,911,536.3,114,0.4562,38.47%
3,75,0.23,1257,1064,626.55,83,0.333,32.72%
3,75,0.23,1313,1259,741.23,43,0.1738,20.05%
3,75,0.23,1373,1450,853.49,0,0,0.00%
2,45,0.21,1380,0,0,209,0.8378,0.00%
2,45,0.21,1202,159,93.42,155,0.6214,15.18%
2,45,0.21,1152,270,159.12,140,0.5636,23.36%
2,45,0.21,1073,565,332.42,104,0.4166,36.25%
2,45,0.21,1047,677,398.23,84,0.3357,35.08%
2,45,0.21,1068,840,494.62,55,0.2201,28.53%
2,45,0.21,1130,1052,619.14,16,0.0639,10.39%
2,45,0.21,1145,1139,670.67,0,0,0.00%
1,36,0.2,1242,0,0,169,0.6774,0.00%
1,36,0.2,1087,113,66.44,126,0.5073,10.97%
1,36,0.2,965,474,278.89,87,0.3509,31.80%
1,36,0.2,948,582,342.69,69,0.2768,30.99%
1,36,0.2,968,760,447.11,41,0.1646,24.03%
1,36,0.2,1032,983,578.41,4,0.0146,3.03%
1,36,0.2,1040,1005,591.53,0,0,0.00%